census_tract_fips,population_total,population_under_18,pct_white,pct_black,pct_asian,pct_other,pct_hispanic,pct_white_nh,pct_black_nh,pct_asian_nh,pct_other_nh,median_income,median_income_2010_adj,pct_poverty,pct_poverty_under_18,pct_assisted_income,pct_no_hs,pct_hs,pct_bach,pct_higher_than_bach,pct_hs_dropout,pct_female_hh,pct_single_parent,pct_unemployed,pct_vacant_housing,pct_owner_occupied,median_rent,median_rent_2010_adj,median_home_value,median_home_value_2010_adj,area_m2
010550103,3587,1199,94,6,0,0,NA,NA,NA,NA,NA,NA,NA,16,12,5,67,30,2,1,21,NA,NA,6,5,80,NA,NA,NA,NA,161651942
010550104,4413,1608,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,11,2,54,42,2,1,14,NA,NA,2,6,82,NA,NA,NA,NA,113337638
010550105,5602,1954,98,2,0,0,NA,NA,NA,NA,NA,NA,NA,11,9,3,49,47,3,1,13,NA,NA,4,6,80,NA,NA,NA,NA,123602116
010550106,5443,1827,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,15,15,3,66,32,1,1,17,NA,NA,4,5,82,NA,NA,NA,NA,208683412
010550107,1825,674,88,12,0,0,0,NA,NA,NA,NA,NA,NA,17,11,3,68,29,2,1,18,NA,NA,4,10,75,NA,NA,NA,NA,112998096
010550108,2327,766,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,18,17,4,67,31,1,1,25,NA,NA,6,7,82,NA,NA,NA,NA,108975028
010550109,1032,356,99,1,0,0,NA,NA,NA,NA,NA,NA,NA,35,27,4,68,29,2,1,15,NA,NA,0,4,75,NA,NA,NA,NA,105059070
010550110,5119,1781,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,25,18,9,77,22,1,0,31,NA,NA,3,6,77,NA,NA,NA,NA,180481653
010550111,3401,1107,99,1,0,0,NA,NA,NA,NA,NA,NA,NA,29,25,7,74,24,1,1,15,NA,NA,2,8,75,NA,NA,NA,NA,206072440
010730001,2921,865,99,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,7,2,59,38,1,1,9,NA,NA,2,3,80,NA,NA,NA,NA,1574631
010730002,3960,1263,99,1,0,0,78,NA,NA,NA,NA,NA,NA,7,7,2,61,37,1,1,31,NA,NA,4,4,54,NA,NA,NA,NA,1865799
010730003,2990,937,95,4,0,0,NA,NA,NA,NA,NA,NA,NA,10,10,3,62,35,2,0,27,NA,NA,3,6,41,NA,NA,NA,NA,1403158
010730004,5905,1934,83,16,0,0,100,NA,NA,NA,NA,NA,NA,9,13,2,58,41,1,0,23,NA,NA,3,3,77,NA,NA,NA,NA,3199408
010730005,7330,2984,42,58,0,0,91,NA,NA,NA,NA,NA,NA,31,38,6,67,31,2,0,28,NA,NA,4,3,40,NA,NA,NA,NA,3311872
010730006,3273,1178,2,98,0,0,100,NA,NA,NA,NA,NA,NA,32,40,8,79,20,1,0,20,NA,NA,4,3,43,NA,NA,NA,NA,1597485
